name,code,title,writer,read
"Afghanistan","AF","The kite runner","Khaled Hosseini",true
"Argentina","AR","Elena knows","Claudio Piñeiro",false
"Australia","AU","The book thief","Marcus Zusak",true
"Belgium","BE","Kaas","Willem Elsschot",true
"Botswana","BW","Go tell the sun","Wame M. Molefhe",false
"Brunei","BN","Written in black","K.H. Lim",true
"Burkina Faso","BF","So distant from my life","Monique Ilboudo",true
"Cambodia","KH","Loung Ung","First they killed my father",false
"Cameroon","CM","Days come and go","Hemley Boum",false
"Canada","CA","The handmaid's tale","Margaret Atwood",true
"China","CN","Wild swans","Jung Chang",false
"Czech Republic","CZ","The unbearable lightness of being","Milan Kundera",true
"Denmark","DK","Fairy Tales","Hans Christian Andersen",true
"Djibouti","DJ","Why Do You Dance When You Walk?","Abdourahman A. Waberi",true
"Egypt","EG","Woman at point zero","Nawal El Saadawi",true
"France","FR","Bonjour tristesse","Françoise Sagan",true
"Georgia","GE","Hard by a Great Forest","Leo Vardiashvili",false
"Germany","DE","Der Leser","Bernhard Schlink",true
"Ghana","GH","Homegoing","Yaa Gyasi",true
"Greece","GR","Sappho's poems","Sappho",true
"Hong Kong","HK","The impossible city","Karen Cheung",true
"Iceland","IS","The greenhouse","Auður Ava Ólafsdóttir",true
"India","IN","The white tiger","Aravind Adiga",true
"Indonesia","ID","Beauty is a wound","Eka Kurniawan",true
"Iran, Islamic Republic Of","IR","Persepolis","Marjane Satrapi",true
"Ireland","IE","Foster","Claire Keegan",true
"Italy","IT","L'amica geniale","Elena Ferrante",true
"Jamaica","JM","Broughtupsy","Christina Cooke",false
"Japan","JP","Locanda degli amori diversi","Ito Ogawa",true
"Kenya","KE","Things they lost","Okwiri Oduor",true
"Korea, Republic of","KR","Born 1982","Kim Ji-young",true
"Malaysia","MY","Black water sister","Zen Cho",true
"Mexico","MX","Hurricane season","Fernanda Melchor",true
"Morocco","MA","Fatima Mernissi","Beyond the veil",false
"Mozambique","MZ","The first wife","Paulina Chiziane",false
"Myanmar","MM","Nu Nu Yi","Smile as they bow",true
"Namibia","NA","The Purple Violet of Oshaantu","Neshani Andreas",false
"Netherlands","NL","Lichter dan ik","Dido Michielsen",true
"Nigeria","NG","Half a yellow sun","Chimamanda Ngozi Adichie",true
"Palestinian Territory, Occupied","PS","My First and Only Love","Sahar Khalifeh",false
"Philippines","PH","bebang Siy","It's a men's world",false
"Russian Federation","RU","Riot days","Maria Alyokhina",true
"Singapore","SG","Ministry of Moral Panic","Amanda Lee Koe",true
"South Africa","ZA","Period pain","Kopano Matlwa",true
"Spain","ES","Shadow of the wind","Carlos Ruiz Zafón",true
"Sri Lanka","LK","The Seven Moons of Maali Almeida","Shehan Karunatilaka",true
"Suriname","SR","Hoe duur was de suiker","Cynthia Mc Leod",true
"Sweden","SE","Ronja de roversdochter","Astrid Lindgren",true
"Tanzania, United Republic of","TZ","By the sea","Abdulrazak Gurnah",true
"Thailand","TH","Sightseeing","Rattawut Lapcharoensap",true
"Turkey","TR","Snow","Orhan Pamuk",true
"United Kingdom","GB","White teeth","Zadie Smith",true
"United States","US","To kill a mockingbird","Harper Lee",true
"Viet Nam","VN","The mountains sing","Nguyễn Phan Quế Mai",true
"Zimbabwe","ZW","Glory","NoViolet Bulawayo",true